cin,name,pan,address_norm,incorporated_on,status
L22100DL1990PLC039464,SHARPLINE BROADCAST LIMITED,,37TH SECOND FLOOR RANI JHANSI ROAD MOTIA KHAN PAHARGANJ DELHI CENTRAL DELHI UNCLASSIFIED DL 110055,1990-03-09,Active
L22121DL2002PLC117874,HT MEDIA LIMITED,,18 20 KASTURBA GANDHI MARG NEW DELHI UNCLASSIFIED DL 110001,2002-12-03,Active
L22122DL1993PLC123728,ETT LIMITED,,17 HEMKUNT COLONY NEW DELHI UNCLASSIFIED DL 110048,1993-11-11,Active
L22219DL1970PLC005400,S CHAND AND COMPANY LIMITED,,A 27 2ND FLOOR MOHAN CO OPERATIVE INDUSTRIAL ESTATE NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110044,1970-09-09,Active
L22219DL1980PLC167850,SHREE JAGDAMBE PAPER MILLS LTD,,161 DEEPALI GATE NO 1 PITAMPURA DELHI UNCLASSIFIED DL 110034,1980-07-31,Active
L22219DL1992PLC048398,CORAL NEWSPRINTS LIMITED,,A 138VIKAS MARG SHAKARPUR NEW DELHI EAST DELHI UNCLASSIFIED DL 110092,1992-04-21,Active
L23201DL1998PLC097614,INDRAPRASTHA GAS LIMITED,,IGL BHAWAN PLOT NO 4 COMMUNITY CENTRE SECTOR 9 R K PURAM NEW DELHI UNCLASSIFIED DL 110022,1998-12-23,Active
L23201DL2001PLC174076,SALASAR TECHNO ENGINEERING LIMITED,,E 20 SOUTH EXTENSION I NEW DELHI DELHI SOUTH DELHI UNCLASSIFIED DL 110049,2001-10-24,Active
L23209DL1991PLC219214,INTERLINK PETROLEUM LIMITED,,105 1ST FLOOR 389 A SOUTH EX PLAZA 1 MASJID MOTH SOUTH EXTN PART II NEW DELHI SOUTH DELHI UNCLASSIFIED DL 110049,1991-08-20,Under liquidation
L24100DL1986PLC234423,JYOTIRGAMYA ENTERPRISES LIMITED,,A1 G1 GROUND FLOOR DILSHAD GARDEN SHAHDARA DELHI EAST DELHI UNCLASSIFIED DL 110095,1986-09-25,Active
L36911DL1989PLC030687,ANAND JEWELLERS LTD,,LACTOWIN HOUSE NEAR B D HIGHSCHOOL AMBALA CANTT HARAYANA UNCLASSIFIED DL 110001,1989-09-29,Strike Off
L51909DL1998PLC092804,F C S AIRWAYS LIMITED,,C O DALIP KUMAR 501 URBAN ESTATE AMBALA HARYANA UNCLASSIFIED DL 000000,1998-03-19,Strike Off
L72300DL2000PLC105071,SECURE ECOMM LIMITED,,309 JAINA TOWER IDISTRICT CENTRE JANAK PURI NEW DELHI UNCLASSIFIED DL 110058,2000-04-06,Strike Off
L74899DL1992PLC050092,PIONEER POLYALLOYS LIMITED,,301 COMMUNITY CENTRE GULMOHAR ENCLAVE NEW DELHI UNCLASSIFIED DL 110049,1992-08-26,Strike Off
L74899DL1994PLC059122,HFCL CREDITAND PORTFOLIO LIMITED,,8 MASJID MOTH COMM COMPLEXG K II NEW DELHI UNCLASSIFIED DL 000000,1994-05-19,Strike Off
L74899DL1994PLC059512,HCL OFFSHORE SOFTWARE LLIMITED,,806 808 SIDDHARTHA 96 NEHRU PLACE NEW DELHI UNCLASSIFIED DL 000000,1994-06-08,Strike Off
L74899DL1994PLC059513,HCL SOFTWARE SOLUTIONS LIMITED,,806 808 SIDDHARTHA 96 NEHRU PLACE NEW DELHI UNCLASSIFIED DL 000000,1994-06-08,Strike Off
L74899DL1994PLC059517,HCL INTEGRATED SOLUTIONS LIMITED,,806 808 SIDDHARTHA96 NEHRU PLACE NEW DELHI UNCLASSIFIED DL 000000,1994-06-08,Strike Off
L74899DL1994PLC059765,PALACIAL HOTEL AND RESORTS LIMITED,,16B 8 D B GUPTA ROAD KAROL BAGH NEW DELHI UNCLASSIFIED DL 110005,1994-06-22,Strike Off
L74899DL1994PLC060268,DIGBOI BOTTLING ENGINEERS LIMITED,,3RD FLOOR DA 4 SHAKARPUR VIKAS MARG NEW DELHI UNCLASSIFIED DL 110092,1994-07-15,Strike Off
L74899DL1994PLC061731,S E I SYSTEMS LIMITED,,55 SANSKRIT NAGAR ROHINI DELHI UNCLASSIFIED DL 000000,1994-09-23,Strike Off
L74899DL1994PLC063061,TRIVENI FININVEST AND TRADING LIMITED,,KAILASH 2ND FLOOR 26 K G MARG NEW DELHI UNCLASSIFIED DL 110001,1994-11-30,Strike Off
L74899DL1995PLC065943,MFL APPARELS LIMITED,,C O SOHINDER NATH CHOPRA K 94 HAUZ KHAS ENCLAVE NEW DELHI UNCLASSIFIED DL 110016,1995-03-01,Strike Off
L74899DL1995PLC067627,RAJLAKSHMI FINANCE & CAPITAL LIMITED,,58 SWEET HOME APARTMENTS PLOT 7 SECTOR 14 PRASHANT VIHAR ROHINI NEW DELHI UNCLASSIFIED DL 110085,1995-04-21,Strike Off
L74899DL1995PLC070563,ATUL CHEMICALS LIMITED,,M 91011 GUPTA TOWER AZADPUR COMPLEX NEW DELHI UNCLASSIFIED DL 110033,1995-07-06,Strike Off
L74899DL1995PLC072566,SIEL PROJECTS ENGINEERING AND CONSULTANCY SERVICES LIMITED,,SURYA KIRAN BUILDING 19K G MARG NEW DELHI UNCLASSIFIED DL 000000,1995-09-19,Strike Off
