cin,name,status,roc
L29191MH1995PTC092878,CALDYN AIRCON LIMITED,Strike Off,RoC-Mumbai
L29210MH1995PLC086609,MUKAND INDUSTRIAL MACHINERY LIMITED,Strike Off,RoC-Mumbai
L29212WB1982PLC035069,ARVIND PROJECTS LTD,Strike Off,RoC-Kolkata
L29248PN1961PLC012164,ALLIED DYES INDUSTRIES LTD,Strike Off,RoC-Pune
L29290MH1993PLC070681,SINDHAR AYUR-MEDS LTD,Strike Off,RoC-Mumbai
L29291WB1939PLC009925,NATIONAL MODEL INDUSTRIES LTD,Strike Off,RoC-Kolkata
L29300MH1996PLC100855,LEO THERMOWARE LIMITED,Strike Off,RoC-Mumbai
L29303WB1999PLC090401,HAPPY HOME KITCHEN AIDS LIMITED,Strike Off,RoC-Kolkata
L30000MH1995PLC092331,PINSEL-COMPUTER DISC (INDIA) LIMITED,Strike Off,RoC-Mumbai
L30000MH1995PLC093008,ASSET INFORMATION TECHNOLOGY LIMITED,Strike Off,RoC-Mumbai
L30009WB1995PLC072361,B B SOFTWARE LTD,Strike Off,RoC-Kolkata
L31100MH1995PLC087519,GSL POWER LIMITED,Strike Off,RoC-Mumbai
L31300WB1999PLC089707,SUN POLYEXTRUSIONS LIMITED,Strike Off,RoC-Kolkata
L31402WB1998PLC087318,SUPERPACK BATTERY LIMITED,Strike Off,RoC-Kolkata
L31500MH1996PLC103523,META CAPS AND COMPONENTS LIMITED,Strike Off,RoC-Mumbai
L31501WB1996PLC077176,GURUJEE MANUFACTURING COMPANY LTD,Strike Off,RoC-Kolkata
L31909MH1997PLC109371,REUNION ROTARY INTERNATIONAL LIMITED,Strike Off,RoC-Mumbai
L32101WB1993PLC058308,PEERLESS TELEVISION NETWORK LTD.,Strike Off,RoC-Kolkata
L32109MH1992PLC069844,COMPAQ POWERTRONICS LTD,Strike Off,RoC-Mumbai
L32204WB1996PLC081864,ESEDA MOBILE COMMUNICATION (WEST BENGAL) LTD,Strike Off,RoC-Kolkata
L32301PN1985PLC035259,MELTRON KALYANI ELECTRONICS LTD,Strike Off,RoC-Pune
L32301WB1984PLC038291,A.H.INDUSTRIES LIMITED.,Strike Off,RoC-Kolkata
L33130MH1996PLC099928,BENSONS POWER MAKERS INDIA LIMITED,Strike Off,RoC-Mumbai
L33205WB1979PLC031830,ALATA CHAKRA & CO LTD,Strike Off,RoC-Kolkata
L34100MH2000PLC128769,USL MOTORCYCLES LIMITED,Strike Off,RoC-Mumbai
L35110MH1996PLC095902,EMPIRE SHIPPING LIMITED,Strike Off,RoC-Mumbai
L35920MH1993PLC073505,ENKAY CYCLES (INDIA) LTD,Strike Off,RoC-Mumbai
L36911DL1989PLC030687,ANAND JEWELLERS LTD,Strike Off,RoC-Delhi
L36911MH1995PLC085510,RATANLAL C BAFNA METAL INDUSTRIES LIMITED,Strike Off,RoC-Mumbai
L36912MH1995PLC094966,G NITIN GEMS AND EXPORTS COMPANY LIMITED,Strike Off,RoC-Mumbai
L40100MH2000PLC128564,WELTEX CABLES (INDIA) LIMITED,Strike Off,RoC-Mumbai
L40101MH1997PLC109464,YASHEKA ENERGY LIMITED,Strike Off,RoC-Mumbai
L40102RJ1997PLC013170,RAJASTHAN STATE ELECTRICITY CORPORATIONLIMITED,Strike Off,RoC-Jaipur
L40109WB1986PLC040058,PRINTED CIRCUITS INTERNATIONAL LTD,Strike Off,RoC-Kolkata
L45200MH1995PLC090230,RAKA PROMOTERS AND BUILDERS LIMITED,Strike Off,RoC-Mumbai
L45200MH1995PLC090718,NVS CONSTRUCTIONS AND TRADING LIMITED,Strike Off,RoC-Mumbai
L45200MH1996PLC098691,TOKYO HOUSING AND INVESTMENT LIMITED,Strike Off,RoC-Mumbai
L45200MH2000PLC126193,ABHI-MAN LAND DEVELOPERS LIMITED,Strike Off,RoC-Mumbai
